id,name,now_cost,position,team,ep_this,influence_rank,news,bonus,expected_goal_involvements_per_90,web_name,points_per_game_rank_type,creativity_rank_type,form_rank,event_points,total_points,goals_conceded,value_season,cost_change_start,goals_scored,corners_and_indirect_freekicks_order,form_rank_type,in_dreamteam,ict_index_rank,transfers_in_event,saves,expected_assists,now_cost_rank,selected_rank,transfers_in,expected_goal_involvements,news_added,penalties_order,form,minutes,threat,now_cost_rank_type,ict_index,expected_assists_per_90,yellow_cards,starts_per_90,cost_change_event_fall,chance_of_playing_this_round,assists,threat_rank,transfers_out_event,penalties_missed,threat_rank_type,expected_goals_conceded,chance_of_playing_next_round,expected_goals_per_90,own_goals,transfers_out,goals_conceded_per_90,ict_index_rank_type,expected_goals,dreamteam_count,points_per_game,cost_change_start_fall,penalties_saved,value_form,bps,creativity_rank,influence_rank_type,red_cards,selected_by_percent,selected_rank_type,clean_sheets_per_90,starts,influence,ep_next,cost_change_event,creativity,saves_per_90,clean_sheets,direct_freekicks_order,status,points_per_game_rank,expected_goals_conceded_per_90
614,Thomas Kaminski,45,GKP,Luton,1.7,15,,1,0.0,Kaminski,20,71,117,3,27,22,6.0,0,0,,12,False,137,1500,43,0.02,352,292,30966,0.02,,,2.7,1080,0.0,15,33.7,0.0,1,1.0,0,,0,593,517,0,66,25.27,,0.0,0,25627,1.83,7,0.00,0,2.2,0,0,0.6,185,606,6,0,0.3,42,0.0,12,337.0,2.2,0,0.0,3.58,0,,a,214,2.11
630,Ross Barkley,49,MID,Luton,1.0,271,,0,0.21,Barkley,128,87,158,2,12,10,2.4,-1,0,4.0,69,False,215,300,0,0.41,225,439,6016,1.05,2023-09-16T23:30:07.302434Z,,2.0,443,61.0,142,23.3,0.08,0,1.02,0,100.0,0,177,246,0,102,10.53,100.0,0.13,0,18018,2.03,106,0.64,0,1.7,1,0,0.4,67,122,110,0,0.1,143,0.0,5,69.0,1.5,0,105.9,0.0,0,1.0,a,283,2.14
631,Jacob Brown,49,FWD,Luton,-0.3,316,,0,0.34,Brown,38,20,301,0,18,14,3.7,-1,0,,34,False,207,394,0,0.32,258,362,21040,2.17,,,0.7,571,143.0,55,25.1,0.05,2,1.1,0,,1,71,545,0,26,15.80,,0.29,0,19871,2.21,32,1.85,0,1.6,1,0,0.1,33,169,36,0,0.1,58,0.0,7,44.0,0.2,0,73.7,0.0,0,,a,297,2.49
648,Aidan Francis-Clarke,40,DEF,Luton,0.0,555,Season long loan to Dagenham and Redbridge,0,0.0,Francis-Clarke,210,211,473,0,0,0,0.0,0,0,,179,False,561,0,0,0.00,705,616,713,0.00,2023-09-11T14:13:13.987409Z,,0.0,0,0.0,222,0.0,0.0,0,0.0,0,0.0,0,517,21,0,204,0.00,0.0,0.0,0,1256,0.0,213,0.00,0,0.0,0,0,0.0,0,539,214,0,0.0,215,0.0,0,0.0,0.0,0,0.0,0.0,0,,u,566,0.0
665,Tim Krul,44,GKP,Luton,-1.0,571,,0,0.0,Krul,80,66,507,0,0,0,0.0,-1,0,,79,False,577,109,0,0.00,471,531,2137,0.00,,,0.0,0,0.0,22,0.0,0.0,0,0.0,0,,0,544,108,0,60,0.00,,0.0,0,2191,0.0,80,0.00,0,0.0,1,0,0.0,0,560,80,0,0.0,70,0.0,0,0.0,-0.5,0,0.0,0.0,0,,a,583,0.0
682,Joseph Johnson,40,DEF,Luton,-1.0,558,,0,0.0,Johnson,213,214,476,0,0,0,0.0,0,0,,182,False,564,180,0,0.00,708,538,2993,0.00,,,0.0,0,0.0,225,0.0,0.0,0,0.0,0,,0,520,111,0,207,0.00,,0.0,0,1722,0.0,216,0.00,0,0.0,0,0,0.0,0,542,217,0,0.0,200,0.0,0,0.0,-0.5,0,0.0,0.0,0,,a,569,0.0
727,Andros Townsend,50,MID,Luton,1.0,357,,0,0.2,Townsend,83,133,162,2,10,3,2.0,0,0,2.0,72,False,340,208,0,0.28,169,662,1273,0.37,,,2.0,171,15.0,105,8.8,0.15,0,1.05,0,,1,322,117,0,163,3.16,,0.05,0,422,1.58,155,0.09,0,2.5,0,0,0.4,41,242,156,0,0.0,267,0.53,2,28.0,1.5,0,45.1,0.0,1,,a,188,1.66
729,Jayden Luker,45,MID,Luton,-1.0,682,,0,0.0,Luker,287,283,637,0,0,0,0.0,0,0,,255,False,688,61,0,0.00,467,721,362,0.00,,,0.0,0,0.0,274,0.0,0.0,0,0.0,0,,0,671,40,0,280,0.00,,0.0,0,144,0.0,286,0.00,0,0.0,0,0,0.0,0,678,282,0,0.0,303,0.0,0,0.0,-0.5,0,0.0,0.0,0,,a,689,0.0
734,Zack Nelson,45,MID,Luton,-1.0,679,,0,0.0,Nelson,284,280,634,0,0,0,0.0,0,0,,252,False,685,81,0,0.00,464,730,179,0.00,,,0.0,0,0.0,271,0.0,0.0,0,0.0,0,,0,668,22,0,277,0.00,,0.0,0,41,0.0,283,0.00,0,0.0,0,0,0.0,0,675,279,0,0.0,310,0.0,0,0.0,-0.5,0,0.0,0.0,0,,a,686,0.0
341,Manuel Akanji,49,DEF,Man City,5.7,73,,1,0.12,Akanji,12,27,40,6,36,10,7.3,-1,2,,13,False,107,32009,0,0.64,249,82,890318,1.05,2023-11-08T09:00:09.507801Z,,4.7,810,60.0,32,38.0,0.07,1,1.0,0,100.0,0,181,4999,0,39,9.01,100.0,0.05,0,948889,1.11,27,0.41,0,4.0,1,0,1.0,181,135,23,1,4.9,31,0.33,9,225.4,5.2,0,95.5,0.0,3,,a,61,1.0
